Fund_Code,Basic Materials,Consumer Cyclical,Financial Services,Real Estate,Consumer Defensive,Healthcare,Utilities,Communication Services,Energy,Industrials,Technology,1-Month,3-Month,1-Year,3-Year,5-Year,10-Year
BDBKX,4.23%,10.27%,15.86%,7.66%,4.21%,16.08%,3.46%,2.56%,6.66%,14.71%,13.51%,0.75%,-7.23%,-9.18%,13.73%,3.82%,7.87%
DIA,1.08%,13.78%,20.14%,0.00%,7.08%,19.96%,0.00%,2.75%,3.22%,14.57%,17.17%,4.09%,-0.10%,0.48%,14.28%,9.05%,10.97%
QQQ,0.00%,15.24%,0.66%,0.21%,5.73%,6.48%,1.15%,16.27%,0.41%,3.86%,49.99%,-0.29%,7.90%,-5.22%,13.88%,15.16%,17.16%
RERGX,8.12%,13.81%,11.12%,0.35%,6.18%,13.17%,0.94%,3.07%,8.21%,13.65%,14.95%,3.90%,0.30%,3.02%,10.02%,3.35%,5.75%
RWMGX,2.71%,6.96%,14.01%,1.98%,8.46%,18.38%,2.75%,5.08%,5.04%,11.17%,18.99%,3.41%,-0.50%,-2.05%,14.87%,9.80%,11.11%
VAW,85.65%,11.18%,0.00%,0.00%,0.00%,0.75%,0.00%,0.00%,0.52%,1.48%,0.00%,2.50%,-4.66%,-5.41%,20.14%,7.85%,9.10%
VBK,2.25%,11.91%,3.53%,5.93%,3.66%,19.25%,0.42%,2.93%,4.77%,16.02%,26.75%,2.29%,-3.11%,-8.52%,8.68%,5.74%,8.75%
VDC,0.19%,0.65%,0.00%,0.00%,97.71%,1.09%,0.00%,0.00%,0.00%,0.18%,0.00%,5.13%,5.03%,-0.76%,12.97%,11.54%,9.41%
VDE,0.39%,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%,0.00%,98.92%,0.00%,0.00%,7.84%,-6.29%,17.25%,42.27%,6.93%,3.85%
VEMPX,3.72%,11.88%,13.62%,6.72%,2.87%,12.45%,1.95%,3.96%,4.32%,14.17%,21.33%,0.85%,-5.61%,-11.95%,12.21%,5.11%,8.56%
VEUSX,6.53%,10.72%,16.05%,1.78%,11.17%,14.30%,3.79%,3.91%,5.53%,15.92%,7.71%,7.68%,3.58%,7.96%,15.26%,4.35%,5.58%
VEXAX,3.72%,11.88%,13.62%,6.72%,2.87%,12.45%,1.95%,3.96%,4.32%,14.17%,21.33%,0.86%,-5.61%,-11.97%,12.19%,5.09%,8.53%
VFIAX,2.38%,10.39%,12.38%,2.62%,7.15%,14.24%,2.86%,8.09%,4.60%,8.39%,26.60%,2.63%,1.81%,-3.62%,14.58%,10.95%,11.98%
VGK,6.53%,10.72%,16.05%,1.78%,11.17%,14.30%,3.79%,3.91%,5.53%,15.92%,7.71%,7.38%,3.32%,7.89%,15.14%,4.35%,5.59%
VHT,0.25%,0.01%,0.03%,0.00%,0.02%,99.29%,0.00%,0.00%,0.00%,0.07%,0.02%,5.03%,0.12%,0.22%,10.51%,11.33%,12.67%
VIGIX,1.86%,17.26%,6.44%,2.21%,2.60%,9.20%,0.00%,11.11%,1.37%,4.16%,43.59%,0.81%,5.90%,-6.87%,12.22%,12.54%,13.26%
VIS,0.46%,1.62%,0.06%,0.73%,0.00%,0.03%,0.03%,0.04%,0.05%,92.78%,3.63%,2.17%,-1.07%,2.24%,19.13%,7.88%,10.85%
VMVAX,5.98%,9.51%,17.54%,10.69%,6.83%,9.02%,13.53%,2.77%,2.87%,13.28%,7.41%,3.81%,-6.08%,-7.39%,17.40%,6.28%,9.27%
VNQ,0.00%,0.00%,0.03%,98.12%,0.00%,0.00%,0.00%,0.75%,0.00%,0.00%,0.06%,3.12%,-7.14%,-22.68%,7.55%,5.70%,5.03%
VOO,2.38%,10.39%,12.38%,2.62%,7.15%,14.24%,2.86%,8.09%,4.60%,8.39%,26.60%,2.62%,1.83%,-3.61%,14.58%,10.95%,11.98%
VOT,3.64%,11.53%,5.71%,6.68%,1.34%,15.75%,0.00%,5.13%,6.42%,14.10%,29.36%,0.93%,-1.72%,-8.47%,10.27%,8.77%,10.13%
VPU,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,98.94%,0.00%,0.45%,0.00%,0.15%,6.00%,2.02%,-2.11%,9.22%,9.46%,9.01%
VTI,2.57%,10.48%,12.50%,3.27%,6.51%,14.01%,2.76%,7.39%,4.46%,9.45%,25.57%,2.40%,0.71%,-4.76%,14.23%,10.05%,11.45%
VTIAX,8.15%,11.09%,17.93%,3.16%,7.64%,8.95%,2.93%,5.54%,5.08%,13.60%,11.63%,3.77%,-1.73%,1.06%,11.16%,2.52%,4.26%
VTPSX,8.15%,11.09%,17.93%,3.16%,7.64%,8.95%,2.93%,5.54%,5.08%,13.60%,11.63%,3.77%,-1.73%,1.11%,11.21%,2.56%,4.30%
VXF,3.72%,11.88%,13.62%,6.72%,2.87%,12.45%,1.95%,3.96%,4.32%,14.17%,21.33%,0.89%,-5.57%,-11.92%,12.25%,5.08%,8.54%
VXUS,8.15%,11.09%,17.93%,3.16%,7.64%,8.95%,2.93%,5.54%,5.08%,13.60%,11.63%,3.63%,-1.73%,0.88%,11.12%,2.54%,4.28%
WFSPX,2.37%,10.37%,12.41%,2.62%,7.14%,14.20%,2.84%,8.08%,4.58%,8.40%,26.54%,2.64%,1.81%,-3.60%,14.56%,10.97%,11.98%
